0.532  0.499 	8.078  2.249 	201.498  72.254
0.455  0.498 	8.591  1.929 	121.995  44.714
0.263  0.440 	9.285  1.444 	117.279  43.440
0.951  0.216 	5.620  2.065 	217.277  69.633
0.960  0.196 	5.514  2.064 	219.565  69.337
0.959  0.198 	5.409  2.042 	228.541  72.969
0.833  0.373 	6.822  2.220 	171.042  54.872
0.226  0.418 	9.288  1.564 	182.951  69.992
0.502  0.500 	8.420  1.963 	192.646  66.349
0.176  0.381 	9.394  1.528 	206.614  68.540
0.825  0.380 	6.990  2.183 	168.442  53.246
0.100  0.300 	9.641  1.222 	171.351  64.373
0.482  0.500 	8.419  2.023 	198.595  70.705
0.199  0.399 	9.336  1.607 	202.165  63.969
0.780  0.414 	7.371  2.097 	160.454  52.993
0.553  0.497 	8.193  2.102 	133.412  50.831
0.431  0.495 	8.693  1.888 	120.503  43.485
0.192  0.394 	9.538  1.127 	92.736  32.421
0.724  0.447 	7.499  2.157 	153.127  50.337
